step;type;amount;oldbalanceOrg;newbalanceOrig;oldbalanceDest;newbalanceDest;isFraud;isFlaggedFraud;amount_noisy
1;PAYMENT;9839.64;170136.0;160296.36;0.0;0.0;0;0;9807.323402699061
1;PAYMENT;1864.28;21249.0;19384.72;0.0;0.0;0;0;1853.0133527439211
1;TRANSFER;181.0;181.0;0.0;0.0;0.0;1;0;183.15309292899664
1;CASH_OUT;181.0;181.0;0.0;21182.0;0.0;1;0;178.0151343294319
1;PAYMENT;11668.14;41554.0;29885.86;0.0;0.0;0;0;11889.173325362588
1;PAYMENT;7817.71;53860.0;46042.29;0.0;0.0;0;0;7755.558712734337
1;PAYMENT;7107.77;183195.0;176087.23;0.0;0.0;0;0;7058.13653590021
1;PAYMENT;7861.64;176087.23;168225.59;0.0;0.0;0;0;7839.470240616269
1;PAYMENT;4024.36;2671.0;0.0;0.0;0.0;0;0;4015.088467666129
1;PAYMENT;3099.97;20771.0;17671.03;0.0;0.0;0;0;3065.3765744841808
1;PAYMENT;2560.74;5070.0;2509.26;0.0;0.0;0;0;2544.89552255176
1;PAYMENT;11633.76;10127.0;0.0;0.0;0.0;0;0;11297.79079607465
1;PAYMENT;4098.78;503264.0;499165.22;0.0;0.0;0;0;4121.5052532559475
1;CASH_OUT;229133.94;15325.0;0.0;5083.0;51513.44;0;0;229610.28921820055
1;PAYMENT;1563.82;450.0;0.0;0.0;0.0;0;0;1567.7224937425713
1;PAYMENT;1157.86;21156.0;19998.14;0.0;0.0;0;0;1171.78699727616
1;PAYMENT;671.64;15123.0;14451.36;0.0;0.0;0;0;674.5543550941094
1;TRANSFER;215310.3;705.0;0.0;22425.0;0.0;0;0;214460.88128110353
1;PAYMENT;1373.43;13854.0;12480.57;0.0;0.0;0;0;1373.7667057012397
1;PAYMENT;3876.41;67852.0;63975.59;0.0;0.0;0;0;3804.075939482611
1;TRANSFER;311685.89;10835.0;0.0;6267.0;2719172.89;0;0;313622.555977482
1;PAYMENT;6061.13;443.0;0.0;0.0;0.0;0;0;6040.300230870936
1;PAYMENT;9478.39;116494.0;107015.61;0.0;0.0;0;0;9584.315803526566
1;PAYMENT;8009.09;10968.0;2958.91;0.0;0.0;0;0;8034.92364297313
1;PAYMENT;8901.99;2958.91;0.0;0.0;0.0;0;0;8965.08259569683
1;PAYMENT;9920.52;0.0;0.0;0.0;0.0;0;0;10033.704681746363
1;PAYMENT;3448.92;0.0;0.0;0.0;0.0;0;0;3478.8289204301327
1;PAYMENT;4206.84;0.0;0.0;0.0;0.0;0;0;4217.780996038894
1;PAYMENT;5885.56;0.0;0.0;0.0;0.0;0;0;5930.122108859199
1;PAYMENT;5307.88;0.0;0.0;0.0;0.0;0;0;5326.546346370856
1;PAYMENT;5031.22;0.0;0.0;0.0;0.0;0;0;5011.6516807822
1;PAYMENT;24213.67;0.0;0.0;0.0;0.0;0;0;24308.82016809311
1;PAYMENT;8603.42;253.0;0.0;0.0;0.0;0;0;8652.776284194764
1;PAYMENT;2791.42;300481.0;297689.58;0.0;0.0;0;0;2791.030840884202
1;PAYMENT;7413.54;297689.58;290276.03;0.0;0.0;0;0;7368.336052643445
1;PAYMENT;3295.19;233633.0;230337.81;0.0;0.0;0;0;3308.3012689867055
1;PAYMENT;1684.81;297.0;0.0;0.0;0.0;0;0;1699.6195740291953
1;CASH_OUT;110414.71;26845.41;0.0;288800.0;2415.16;0;0;110892.90073179884
1;PAYMENT;7823.46;998.0;0.0;0.0;0.0;0;0;7922.631194414277
1;PAYMENT;5086.48;0.0;0.0;0.0;0.0;0;0;5117.34323720641
1;PAYMENT;5281.48;152019.0;146737.52;0.0;0.0;0;0;5288.346945535867
1;PAYMENT;13875.98;15818.0;1942.02;0.0;0.0;0;0;14005.562367456381
1;CASH_OUT;56953.9;1942.02;0.0;70253.0;64106.18;0;0;56546.33341533967
1;CASH_OUT;5346.89;0.0;0.0;652637.0;6453430.91;0;0;5361.255187911977
1;PAYMENT;2204.04;586.0;0.0;0.0;0.0;0;0;2212.466427671348
1;PAYMENT;2641.47;23053.0;20411.53;0.0;0.0;0;0;2642.9904323738892
1;CASH_OUT;23261.3;20411.53;0.0;25742.0;0.0;0;0;23304.461599747017
1;PAYMENT;2330.64;203543.0;201212.36;0.0;0.0;0;0;2327.1001190396273
1;PAYMENT;1614.64;41276.0;39661.36;0.0;0.0;0;0;1613.081566152193
1;PAYMENT;9164.71;47235.77;38071.06;0.0;0.0;0;0;9112.647365591429
1;PAYMENT;2970.97;38071.06;35100.09;0.0;0.0;0;0;2997.124112300589
1;PAYMENT;38.66;16174.0;16135.34;0.0;0.0;0;0;39.02580164788544
1;PAYMENT;2252.44;1627.0;0.0;0.0;0.0;0;0;2233.141074749101
1;TRANSFER;62610.8;79114.0;16503.2;517.0;8383.29;0;0;63171.3632824144
1;CASH_OUT;82940.31;3017.87;0.0;132372.0;49864.36;0;0;82687.59362538456
1;PAYMENT;2599.46;874042.26;871442.79;0.0;0.0;0;0;2529.952181977826
1;PAYMENT;6440.78;2192.0;0.0;0.0;0.0;0;0;6471.489448668709
1;PAYMENT;4910.14;41551.0;36640.86;0.0;0.0;0;0;4931.27322489505
1;PAYMENT;6444.64;12019.0;5574.36;0.0;0.0;0;0;6495.926497280653
1;PAYMENT;7292.16;216827.0;209534.84;0.0;0.0;0;0;7389.390461659764
