file;X123_DE_time_len;X123_FE_time_len;X123RPM_len;X190_DE_time_len;X190_FE_time_len;X190RPM_len;X227_DE_time_len;X227_FE_time_len;X227RPM_len;X110_DE_time_len;X110_FE_time_len;X110RPM_len;X217_DE_time_len;X175_DE_time_len;X175_FE_time_len;X175RPM_len;X214_DE_time_len;X214_FE_time_len;X214RPM_len;X136_DE_time_len;X136_FE_time_len;X136RPM_len;X202_DE_time_len;X202_FE_time_len;X202RPM_len;X239_DE_time_len;X239_FE_time_len;X239RPM_len;X098_DE_time_len;X098_FE_time_len
B007_1_123.mat;487384.0;487384.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
B014_1_190.mat;;;;486224.0;486224.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;
B021_1_227.mat;;;;;;;486804.0;486804.0;1.0;;;;;;;;;;;;;;;;;;;;;
IR007_1_110.mat;;;;;;;;;;486224.0;486224.0;1.0;;;;;;;;;;;;;;;;;;
IR014_1_175.mat;;;;;;;;;;;;;489125.0;381890.0;381890.0;1.0;;;;;;;;;;;;;;
IR021_1_214.mat;;;;;;;;;;;;;;;;;485063.0;485063.0;1.0;;;;;;;;;;;
OR007_6_1_136.mat;;;;;;;;;;;;;;;;;;;;486804.0;486804.0;1.0;;;;;;;;
OR014_6_1_202.mat;;;;;;;;;;;;;;;;;;;;;;;484483.0;484483.0;1.0;;;;;
OR021_6_1_239.mat;;;;;;;;;;;;;;;;;;;;;;;;;;489125.0;489125.0;1.0;;
Time_Normal_1_098.mat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;483903.0;483903.0
